Species,Ass_usage,IPHC_code,IPHC_comm_name,latin,RACE_CODE,OBS_CODE,OBS_WT_CODE,NOTES
Shark_catshark,Groundfish,163,Unident. Cat Shark,Scyliorhinidae family,200,,,
Shark_Leopard,Groundfish,183,Leopard Shark,Triakis semifasciata,355,,,
Shark_Misc,Groundfish,63,Miscellaneous Shark,,150,65,65,
Shark_Ratfish,Groundfish,56,Spotted Ratfish,Hydrolagus colliei,710,0,36,"coded as ""spiny dogfish"" in FMA"
Shark_Salmon,Groundfish,101,Salmon Shark,Lamna ditropis,232,67,65,"coded as ""shark unidentified"" in FMA, weight data available from other gear types"
Shark_Sixgill,Groundfish,130,Sixgill Shark,Hexanchus griseus,222,78,65,"coded as ""shark unidentifed"" in FMA"
Shark_Sleeper,Groundfish,125,Sleeper Shark,Somniosus pacificus,320,62,62,
Shark_Soupfin,Groundfish,129,Soupfin Shark,Galeorhinus zyopterus,332,64,65,"coded as ""shark unidentified"" in FMA"
Shark_Spiny_Dogfish,Groundfish,54,Spiny Dogfish,Squalus acanthias,310,66,66,
Shells,Groundfish,103,Shells,(includes bivalve and gastropods),99993,0,36,"coded as ""snail shell unidentifed in FMA"""
Skate_Alaska,Groundfish,137,Alaska Skate,Bathyraja parmifera,471,88,88,
Skate_Aleutian,Groundfish,138,Aleutian Skate,Bathyraja aleutica,472,85,85,
Skate_Bering,Groundfish,167,Bering Skate,Bathyraja interrupta,435,97,97,
Skate_Bering.Alaska,Groundfish,403,Bering/Alaska Skate,,0,0,0,
Skate_Bering.Aleutian,Groundfish,405,Bering/Aleutian Skate,,0,0,0,
Skate_Big,Groundfish,141,Big Skate,Raja binoculata,420,94,94,
Skate_Black,Groundfish,140,Black Skate,Bathyraja trachura,460,89,89,
Skate_Butterfly,Groundfish,251,Butterfly Skate,Bathyraja mariposa,483,168,168,
Skate_Commander,Groundfish,169,Commander Skate,Bathyraja lindbergi,475,163,163,
Skate_Deepsea,Groundfish,164,Deepsea Skate,Bathyraja abyssicola,410,92,85,"no weight data, so coded as ""Aleutian Skate"""
Skate_Egg_Case,Groundfish,116,Skate Egg Case,,401,91,91,
Skate_Flathead,Groundfish,139,Flathead Skate,Bathyraja rosispinis,415,86,88,"no weight data, so coded as ""Alaska Skate"""
Skate_Golden,Groundfish,168,Golden Skate,Bathyraja smirnovi,490,160,88,"coded as ""alaska skate"" no weight data available"
Skate_Leopard,Groundfish,250,Leopard Skate,Bathyraja parmifera,0,0,89,"coded as ""alaska skate"" no weight data available"
Skate_Longnose,Groundfish,143,Longnose Skate,Raja rhina,440,95,95,
Skate_Mud,Groundfish,180,Mud Skate,Bathyraja taranetzi,455,165,165,
Skate_Okhotsk,Groundfish,176,Okhotsk Skate,Bathyraja violacea,495,161,165,"coded as ""mud skate"" no weight data available"
Skate_Roughshoulder,Groundfish,178,Roughshoulder Skate,Raja badia,445,166,163,"coded as ""commander skate"" no weight data available"
Skate_Sandpaper,Groundfish,142,Sandpaper Skate,Bathyraja kincaida,430,98,97,"no weight data, so coded as ""Bering Skate"""
Skate_Starry,Groundfish,144,Starry Skate,Raja stellulata,450,96,85,"no weight data, so coded as ""Aleutian Skate"""
Skate_Unident,Groundfish,55,unident. Skate,Rajidae,400,90,90,
Skate_Whiteblotched,Groundfish,156,Whiteblotched Skate,Bathyraja maculata,480,164,164,
Skate_Whitebrow,Groundfish,173,Whitebrow Skate,Bathyraja minispinosa,485,162,162,
Skilfish,Groundfish,109,Skilfish,Erilepis zonifer,0,,,
Snail_eggs,Groundfish,115,Snail Eggs,,71001,34,34,
Snailfish,Groundfish,24,Snailfish,Cyclopteridae (Liparidinae),22200,500,500,
Sole_Butter,Groundfish,6,Butter Sole,Isopsetta isolepis,10270,109,104,"coded as ""Rock sole"" because no weight data available for LL gear"
Sole_Curlfin,Groundfish,17,Curlfin Sole,Pleuronichthys decurrens,10280,117,105,"coded as ""rex sole"" in FMA, no weight data available"
Sole_Dover,Groundfish,12,Dover Sole,Microstomus pacificus,10180,107,107,
Sole_English,Groundfish,8,English Sole,Parophrys vetulus,10170,108,104,"coded as ""Rock sole"" because no weight data available for LL gear"
Sole_Flathead,Groundfish,3,Flathead Sole,Hippoglossoides elassodon,10130,103,103,
Sole_Petrale,Groundfish,14,Petrale Sole,Eopsetta jordani,10160,112,104,"coded as ""Rock sole"" because no weight data available for LL gear"
Sole_Rex,Groundfish,5,Rex Sole,Glyptocephalus zachirus,10200,105,105,
Sole_Rock,Groundfish,4,Rock Sole,Lepidopsetta sp.,10260,104,104,
Sole_Sand,Groundfish,13,Sand Sole,Psettichthys melanostictus,10250,115,104,"coded as ""Rock sole"" because no weight data available for LL gear"
Sole_Slender,Groundfish,18,Slender Sole,Eopsetta exilis,10150,111,105,"coded as ""rex sole"" in FMA, no weight data available"
Sole_Unident,Groundfish,165,unident. sole,,0,0,104,"coded as ""rock sole"" in FMA"
Sole_Yellowfin,Groundfish,7,Yellowfin Sole,Limanda aspera,10210,140,140,
Sponge_Glass,Groundfish,218,Glass Sponge,Hexactinellida,91700,0,0,
Sponge_Unident,Groundfish,91,unident. Sponge,Porifera,91000,26,26,
Squid_Pacific_Bobtail,Groundfish,249,Pacific Bobtail Squid,Sepioloidea pacifica,79020,,,Rossia pacifica in RACE manual
Starfish_Blackspined,Groundfish,217,Blackspined Sea Star,Lethasterias nanimensis,80200,0,0,
Starfish_Blood,Groundfish,225,Blood Sea Star,Henricia leviuscula,80544,0,0,
Starfish_Brittle,Groundfish,219,Brittle Star,Ophuroidea,83000,22,22,
Starfish_Feathers,Groundfish,234,Sea Lilies and Feather Stars,,0,,,
Starfish_Fish_Eating,Groundfish,209,Fish-eating Star,Stylasterias Forreri,80170,0,0,
Starfish_Solaster_sp_,Groundfish,216,Solaster sp (starfish),Solaster sp,81060,24,24,
Starfish_Sun_Star,Groundfish,207,Sun Sea Star,Solaster stimpsoni,81065,0,0,
Starfish_Sunflower,Groundfish,210,Sunflower Sea Star,Pycnopodia helianthoides,80160,0,0,
Starfish_Unident,Groundfish,81,unident. Starfish,(includes brittle and basketstars),80000,20,20,
Thornyhead_Longspine,Groundfish,151,Longspine Thornyhead,Sebastolobus altivelis,30030,352,352,
Thornyhead_Shortspine,Groundfish,150,Shortspine Thornyhead,Sebastolobus alascanus,30020,350,350,
Thornyhead_Unident,Groundfish,30,unident. thornyhead (Idiot),Sebastolobus spp,30010,349,349,
Tunicates,Groundfish,104,Tunicates,Ascidian,98000,43,43,
Turbot_Greenland,Groundfish,16,Greenland Turbot,Reinhardtius hippoglossoides,10115,102,102,
Unknown_Unspecified,Groundfish,306,Unknown/Unspecified,,0,900,900,
Wolf.eel,Groundfish,53,Wolf-Eel,Anarrhichthys ocellatus,20320,780,780,"no weight data available for AI, use BS or GOA as proxy"
Wolffish_Bering,Groundfish,215,Bering Wolffish,Anarhichas orientalis,20322,781,781,"no weight data available for Ai or GOA, use BS as proxy"
Worms,Groundfish,117,Worms,(includes polychaetes and others),50000,54,54,
Wrymouth_Giant,Groundfish,37,Giant Wrymouth,Delolepis gigantia,23820,760,760,"no weight data available for AI or BS, use GOA as proxy"
